keyword,cluster,tier,volume_sd_metro,core_set
martial arts near me,Primary head,1,480,yes
taekwondo near me,Primary head,1,260,yes
martial arts san diego,Primary head,1,210,yes
karate near me,Primary head,1,210,yes
self defense classes near me,Primary head,1,210,yes
taekwondo san diego,Primary head,1,170,yes
martial arts for kids near me,Primary head,1,140,yes
martial arts classes near me,Secondary,2,140,no
karate classes near me,Secondary,2,110,no
childrens martial arts,Secondary,2,90,yes
karate san diego,Secondary,2,90,yes
martial arts for adults,Secondary,2,70,no
self defense classes san diego,Secondary,2,70,no
karate for kids near me,Secondary,2,30,no
childrens karate near me,Secondary,2,30,no
youth karate classes near me,Secondary,2,30,no
martial arts classes san diego,Secondary,2,20,no
martial arts la jolla,La Jolla local,3,10,yes
karate la jolla,La Jolla local,3,10,yes
taekwondo la jolla,La Jolla local,3,,no
self defense la jolla,La Jolla local,3,,no
martial arts for kids la jolla,La Jolla local,3,,no
preschool martial arts,Little Ninjas / preschool,4,10,no
preschool martial arts near me,Little Ninjas / preschool,4,10,no
martial arts for 3 year olds,Little Ninjas / preschool,4,10,no
martial arts for 4 year olds,Little Ninjas / preschool,4,10,no
martial arts for 5 year olds,Little Ninjas / preschool,4,10,no
karate for 4 year olds,Little Ninjas / preschool,4,10,no
karate for 4 year olds near me,Little Ninjas / preschool,4,10,no
taekwondo for 4 year olds,Little Ninjas / preschool,4,10,no
best martial arts for 5 year olds,Little Ninjas / preschool,4,10,no
martial arts for preschoolers,Little Ninjas / preschool,4,10,no
martial arts summer camp near me,Seasonal / ancillary,5,10,no
karate summer camp,Seasonal / ancillary,5,10,no
taekwondo summer camp,Seasonal / ancillary,5,10,no
martial arts camp near me,Seasonal / ancillary,5,10,no
karate birthday party near me,Seasonal / ancillary,5,10,no
martial arts birthday party,Seasonal / ancillary,5,10,no
homeschool martial arts,Seasonal / ancillary,5,10,no
homeschool karate near me,Seasonal / ancillary,5,10,no
is karate good for adhd,Content / differentiator,6,,yes
martial arts for adhd,Content / differentiator,6,,no
taekwondo vs karate,Content / differentiator,6,,no
good age to start martial arts,Content / differentiator,6,,no
good age to start karate,Content / differentiator,6,,no
how much do martial arts classes cost,Content / differentiator,6,,no
martial arts for special needs near me,Content / differentiator,6,10,no
la jolla martial arts,Branded,7,,no
lajollatkd,Branded,7,,no
la jolla tkd,Branded,7,,no
kyung hee taekwondo,Branded / competitor,7,,no
white dragon martial arts,Branded / competitor,7,,no
